Facility.ID,Jurisdiction,State,Name,Date,source,Residents.Confirmed,Staff.Confirmed,Residents.Deaths,Staff.Deaths,Residents.Recovered,Staff.Recovered,Residents.Tadmin,Staff.Tested,Residents.Negative,Staff.Negative,Residents.Pending,Staff.Pending,Residents.Quarantine,Staff.Quarantine,Residents.Active,Population.Feb20,Residents.Population,Residents.Tested,Residents.Initiated,Residents.Completed,Residents.Vadmin,Staff.Initiated,Staff.Completed,Staff.Vadmin,Address,Zipcode,City,County,Latitude,Longitude,County.FIPS,HIFLD.ID,jurisdiction_scraper,Description,Security,Age,Gender,Is.Different.Operator,Different.Operator,Capacity,BJS.ID,Source.Population.Feb20,Source.Capacity,Website,ICE.Field.Office
835,state,New Jersey,ADULT DIAGNOSTIC AND TREATMENT CENTER,2020-04-03,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472,NA,NA,NA,NA,NA,NA,NA,NA,"8 PRODUCTION WAY, P.O. BOX 190",7095,WOODBRIDGE,MIDDLESEX,40.58959315,-74.27158104,34023,10002298,state,Prison,NA,Adult,Male,FALSE,NA,700,NA,Public Records,Public Records,http://www.state.nj.us/corrections/pages/index.shtml,NA
835,state,New Jersey,ADULT DIAGNOSTIC AND TREATMENT CENTER,2020-04-04,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472,NA,NA,NA,NA,NA,NA,NA,NA,"8 PRODUCTION WAY, P.O. BOX 190",7095,WOODBRIDGE,MIDDLESEX,40.58959315,-74.27158104,34023,10002298,state,Prison,NA,Adult,Male,FALSE,NA,700,NA,Public Records,Public Records,http://www.state.nj.us/corrections/pages/index.shtml,NA
835,state,New Jersey,ADULT DIAGNOSTIC AND TREATMENT CENTER,2020-04-05,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472,NA,NA,NA,NA,NA,NA,NA,NA,"8 PRODUCTION WAY, P.O. BOX 190",7095,WOODBRIDGE,MIDDLESEX,40.58959315,-74.27158104,34023,10002298,state,Prison,NA,Adult,Male,FALSE,NA,700,NA,Public Records,Public Records,http://www.state.nj.us/corrections/pages/index.shtml,NA
835,state,New Jersey,ADULT DIAGNOSTIC AND TREATMENT CENTER,2020-04-06,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472,NA,NA,NA,NA,NA,NA,NA,NA,"8 PRODUCTION WAY, P.O. BOX 190",7095,WOODBRIDGE,MIDDLESEX,40.58959315,-74.27158104,34023,10002298,state,Prison,NA,Adult,Male,FALSE,NA,700,NA,Public Records,Public Records,http://www.state.nj.us/corrections/pages/index.shtml,NA
835,state,New Jersey,ADULT DIAGNOSTIC AND TREATMENT CENTER,2020-04-07,NA,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472,NA,NA,NA,NA,NA,NA,NA,NA,"8 PRODUCTION WAY, P.O. BOX 190",7095,WOODBRIDGE,MIDDLESEX,40.58959315,-74.27158104,34023,10002298,state,Prison,NA,Adult,Male,FALSE,NA,700,NA,Public Records,Public Records,http://www.state.nj.us/corrections/pages/index.shtml,NA
835,state,New Jersey,ADULT DIAGNOSTIC AND TREATMENT CENTER,2020-04-08,NA,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472,NA,NA,NA,NA,NA,NA,NA,NA,"8 PRODUCTION WAY, P.O. BOX 190",7095,WOODBRIDGE,MIDDLESEX,40.58959315,-74.27158104,34023,10002298,state,Prison,NA,Adult,Male,FALSE,NA,700,NA,Public Records,Public Records,http://www.state.nj.us/corrections/pages/index.shtml,NA
835,state,New Jersey,ADULT DIAGNOSTIC AND TREATMENT CENTER,2020-04-09,NA,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472,NA,NA,NA,NA,NA,NA,NA,NA,"8 PRODUCTION WAY, P.O. BOX 190",7095,WOODBRIDGE,MIDDLESEX,40.58959315,-74.27158104,34023,10002298,state,Prison,NA,Adult,Male,FALSE,NA,700,NA,Public Records,Public Records,http://www.state.nj.us/corrections/pages/index.shtml,NA
835,state,New Jersey,ADULT DIAGNOSTIC AND TREATMENT CENTER,2020-04-10,NA,0,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472,NA,NA,NA,NA,NA,NA,NA,NA,"8 PRODUCTION WAY, P.O. BOX 190",7095,WOODBRIDGE,MIDDLESEX,40.58959315,-74.27158104,34023,10002298,state,Prison,NA,Adult,Male,FALSE,NA,700,NA,Public Records,Public Records,http://www.state.nj.us/corrections/pages/index.shtml,NA
835,state,New Jersey,ADULT DIAGNOSTIC AND TREATMENT CENTER,2020-04-11,NA,0,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472,NA,NA,NA,NA,NA,NA,NA,NA,"8 PRODUCTION WAY, P.O. BOX 190",7095,WOODBRIDGE,MIDDLESEX,40.58959315,-74.27158104,34023,10002298,state,Prison,NA,Adult,Male,FALSE,NA,700,NA,Public Records,Public Records,http://www.state.nj.us/corrections/pages/index.shtml,NA
835,state,New Jersey,ADULT DIAGNOSTIC AND TREATMENT CENTER,2020-04-12,NA,0,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472,NA,NA,NA,NA,NA,NA,NA,NA,"8 PRODUCTION WAY, P.O. BOX 190",7095,WOODBRIDGE,MIDDLESEX,40.58959315,-74.27158104,34023,10002298,state,Prison,NA,Adult,Male,FALSE,NA,700,NA,Public Records,Public Records,http://www.state.nj.us/corrections/pages/index.shtml,NA
